"ORD","COUNTRY","TOTAL_CASES","NEW_CASES","TOTAL_DEATHS","NEW_DEATHS","TOTAL_RECOVERED","NEW_RECOVERED","ACTIVE_CASES","SERIOUS_CRITICAL","TOT_CASES_1M_POP","DEATHS_1M_POP","TOTAL_TESTS","TESTS_1M_POP","POPULATION","CONTINENT","DATE"
"7","UK","1723242","17272","61245","231",,,,"1274","25327","900","44812139","658618","68039683","Europe","2020-12-06"
"1","USA","15048744","65319","288333","508","8801288","13550","5959123","26272","45350","869","206331309","621782","331838624","North America","2020-12-06"
"4","Russia","2460770","29039","43141","457","1937738","21342","479891","2300","16859","296","79323100","543452","145961541","Europe","2020-12-06"
"8","Spain","1699145",,"46252",,,,,"2371","36336","989","22992742","491691","46762615","Europe","2020-12-06"
"6","Italy","1728878","18887","60078","564","913494","17186","755306","3454","28613","994","23125664","382728","60423291","Europe","2020-12-06"
"11","Germany","1175733","5638","19034","59","846400","10700","310299","4051","14014","227","29141172","347334","83899597","Europe","2020-12-06"
"36","Sweden","278912",,"7067",,,,,"249","27543","698","3457247","341410","10126378","Europe","2020-12-06"
"5","France","2292497","11022","55155","174","169586","228","2067756","3220","35088","844","21041852","322056","65335918","Europe","2020-12-06"
"3","Brazil","6582606","5429","176721","80","5761363",,"644522","8318","30874","829","25700000","120539","213209454","South America","2020-12-06"
"46","Japan","160098","2424","2315","32","135277","1834","22506","519","1268","18","3740146","29611","126308421","Asia","2020-12-06"
