;North America;17458029;83064;427644;1179;10608199;24892;6422186;31024;;;;;;North America
;Asia;17501104;114982;301602;1454;15460500;98328;1739002;28094;;;;;;Asia
;South America;11501987;7917;331784;143;10224177;7836;946026;16805;;;;;;South America
;Europe;18430013;154759;423852;2966;8213189;103214;9792972;27429;;;;;;Europe
;Africa;2268399;5247;53739;84;1934812;6133;279848;2531;;;;;;Africa
;Oceania;45927;9;1021;;33153;6;11753;25;;;;;;Australia/Oceania
;;721;;15;;706;;0;0;;;;;;
;World;67206180;365978;1539657;5826;46474736;240409;19191787;105908;8622;197.5;;;;All
1;USA;15048744;65319;288333;508;8801288;13550;5959123;26272;45350;869;206331309;621782;331838624;North America
2;India;9676801;32272;140590;374;9138171;38225;398040;8944;6983;101;146986575;106064;1385826873;Asia
3;Brazil;6582606;5429;176721;80;5761363;;644522;8318;30874;829;25700000;120539;213209454;South America
4;Russia;2460770;29039;43141;457;1937738;21342;479891;2300;16859;296;79323100;543452;145961541;Europe
5;France;2292497;11022;55155;174;169586;228;2067756;3220;35088;844;21041852;322056;65335918;Europe
6;Italy;1728878;18887;60078;564;913494;17186;755306;3454;28613;994;23125664;382728;60423291;Europe
7;UK;1723242;17272;61245;231;;;;1274;25327;900;44812139;658618;68039683;Europe
8;Spain;1699145;;46252;;;;;2371;36336;989;22992742;491691;46762615;Europe
9;Argentina;1459832;;39632;;1288785;;131415;3757;32173;873;4084362;90016;45373860;South America
10;Colombia;1362249;;37633;;1249702;;74914;2376;26650;736;6702477;131124;51115456;South America
11;Germany;1175733;5638;19034;59;846400;10700;310299;4051;14014;227;29141172;347334;83899597;Europe
12;Mexico;1168395;11625;109456;593;859463;6744;199476;3363;9021;845;3005228;23204;129513719;North America
13;Poland;1063449;9176;20089;228;706720;18810;336640;1900;28112;531;6456364;170674;37828650;Europe
14;Iran;1040547;11561;50310;294;730798;11090;259439;5809;12321;596;6387019;75628;84453032;Asia
15;Peru;972688;;36231;;905696;;30761;976;29326;1092;5154919;155417;33168204;South America
16;Turkey;828295;30402;14900;195;431253;4011;382142;5805;9776;176;19691845;232412;84728194;Asia
17;Ukraine;813306;11590;13588;167;418581;6048;381137;177;18645;312;4702234;107801;43619452;Europe
18;South Africa;810449;;22067;;744298;;44084;546;13592;370;5565928;93343;59628760;Africa
19;Belgium;589942;2503;17254;112;39185;327;533503;753;50807;1486;6082316;523824;11611376;Europe
20;Indonesia;575796;6089;17740;151;474771;4322;83285;;2096;65;6032542;21955;274763993;Asia
